member_casual,dia_semana,duracao_media_min
casual,domingo,26.18631856487105
casual,segunda-feira,22.38194380214391
casual,terça-feira,19.85495765828617
casual,quarta-feira,18.783548102625154
casual,quinta-feira,19.94884951378376
casual,sexta-feira,22.622080808491987
casual,sábado,25.310806009076387
member,domingo,13.657631503536239
member,segunda-feira,11.912139526980331
member,terça-feira,11.85543551994816
member,quarta-feira,11.837226696247455
member,quinta-feira,11.949781214738596
member,sexta-feira,12.325735586147015
member,sábado,13.537165647637641
